transaction_id,datetime,day_of_week,amount
114,2023-01-09 3:59,Monday,22.49
115,2023-01-09 8:14,Monday,23.72
116,2023-01-09 14:53,Monday,25.77
117,2023-01-09 17:06,Monday,19.82
118,2023-01-09 19:08,Monday,22.72
119,2023-01-09 20:42,Monday,28.6
120,2023-01-09 22:00,Monday,21.34
121,2023-01-09 22:32,Monday,22.21
122,2023-01-09 22:44,Monday,24.44
123,2023-01-09 23:32,Monday,25.23
124,2023-01-10 0:07,Tuesday,21.3
125,2023-01-10 1:11,Tuesday,23.24
126,2023-01-10 2:23,Tuesday,24.71
127,2023-01-10 2:28,Tuesday,28.45
128,2023-01-10 3:37,Tuesday,22.68
129,2023-01-10 9:03,Tuesday,22.93
130,2023-01-10 10:27,Tuesday,27.27
131,2023-01-10 11:38,Tuesday,21.53
132,2023-01-10 18:16,Tuesday,19.4
133,2023-01-10 23:38,Tuesday,23.77
134,2023-01-11 1:22,Wednesday,26.62
135,2023-01-11 2:36,Wednesday,24.6
136,2023-01-11 4:09,Wednesday,23.31
137,2023-01-11 4:48,Wednesday,19.48
138,2023-01-11 6:56,Wednesday,32.72
139,2023-01-11 7:11,Wednesday,27.08
140,2023-01-11 7:27,Wednesday,20.1
141,2023-01-11 7:29,Wednesday,22.9
142,2023-01-11 9:00,Wednesday,22.49
143,2023-01-11 12:53,Wednesday,21.62
144,2023-01-11 13:24,Wednesday,24.3
145,2023-01-11 17:14,Wednesday,24.87
146,2023-01-11 18:22,Wednesday,37.49
147,2023-01-11 22:22,Wednesday,36.55
148,2023-01-12 2:07,Thursday,20.57
149,2023-01-12 5:44,Thursday,26.45
150,2023-01-12 7:25,Thursday,24.09
151,2023-01-12 8:58,Thursday,31.31
152,2023-01-12 12:52,Thursday,31.46
153,2023-01-12 12:54,Thursday,31.79
154,2023-01-12 14:51,Thursday,22.77
155,2023-01-12 20:21,Thursday,27.43
156,2023-01-12 20:49,Thursday,28.36
157,2023-01-12 21:08,Thursday,28.02
158,2023-01-13 0:46,Friday,26.52
159,2023-01-13 0:55,Friday,31.95
160,2023-01-13 2:28,Friday,27.7
161,2023-01-13 6:47,Friday,28.14
162,2023-01-13 6:47,Friday,22.6
163,2023-01-13 14:58,Friday,29.88
164,2023-01-13 17:17,Friday,26.87
165,2023-01-13 21:13,Friday,29.3
166,2023-01-13 21:33,Friday,28.53
167,2023-01-14 0:01,Saturday,41.86
168,2023-01-14 0:30,Saturday,40.75
169,2023-01-14 0:55,Saturday,44.84
170,2023-01-14 3:28,Saturday,40
171,2023-01-14 5:41,Saturday,33.83
172,2023-01-14 6:10,Saturday,43.79
173,2023-01-14 7:24,Saturday,37.02
174,2023-01-14 8:20,Saturday,34.49
175,2023-01-14 11:01,Saturday,63.25
176,2023-01-14 16:30,Saturday,42.43
177,2023-01-14 18:16,Saturday,40.56
178,2023-01-14 21:28,Saturday,30.55
179,2023-01-15 0:40,Sunday,37.24
180,2023-01-15 3:20,Sunday,59.52
181,2023-01-15 3:59,Sunday,36.94
182,2023-01-15 4:17,Sunday,38.28
183,2023-01-15 6:30,Sunday,43.95
184,2023-01-15 9:02,Sunday,42.8
185,2023-01-15 9:28,Sunday,43.86
186,2023-01-15 10:18,Sunday,26.07
187,2023-01-15 14:02,Sunday,47.22
188,2023-01-15 16:55,Sunday,42.09
189,2023-01-15 17:37,Sunday,53.35
190,2023-01-15 18:56,Sunday,35.44
191,2023-01-15 18:58,Sunday,30.83
192,2023-01-15 20:51,Sunday,39.15
193,2023-01-15 22:09,Sunday,37.83
194,2023-01-15 23:49,Sunday,42.19
195,2023-01-15 23:54,Sunday,51.66
196,2023-01-16 1:30,Monday,24.48
197,2023-01-16 4:11,Monday,24.03
198,2023-01-16 8:41,Monday,26.31
199,2023-01-16 10:30,Monday,24
200,2023-01-16 10:39,Monday,23.75
201,2023-01-16 18:38,Monday,27.87
202,2023-01-16 19:21,Monday,28.53
203,2023-01-16 20:35,Monday,28.01
204,2023-01-16 22:01,Monday,24.29
205,2023-01-16 22:29,Monday,18.43
206,2023-01-17 1:01,Tuesday,22.98
207,2023-01-17 2:25,Tuesday,21.27
208,2023-01-17 6:08,Tuesday,23.04
209,2023-01-17 8:32,Tuesday,21.53
210,2023-01-17 10:31,Tuesday,23.36
211,2023-01-17 11:33,Tuesday,20.5
212,2023-01-17 12:53,Tuesday,19.82
213,2023-01-17 12:58,Tuesday,26.86
214,2023-01-17 13:54,Tuesday,20.7
215,2023-01-17 14:25,Tuesday,23.43
216,2023-01-17 15:27,Tuesday,26.11
217,2023-01-17 15:31,Tuesday,26
218,2023-01-17 21:24,Tuesday,25.68
219,2023-01-17 21:45,Tuesday,24.29
220,2023-01-17 22:51,Tuesday,25.48
221,2023-01-17 22:56,Tuesday,27.31
222,2023-01-17 23:31,Tuesday,24.64
223,2023-01-18 0:03,Wednesday,18.67
224,2023-01-18 4:12,Wednesday,36.68
225,2023-01-18 6:13,Wednesday,25.96
226,2023-01-18 7:05,Wednesday,22.16
227,2023-01-18 7:10,Wednesday,28.62
228,2023-01-18 8:12,Wednesday,23.78
229,2023-01-18 9:03,Wednesday,24.21
230,2023-01-18 11:57,Wednesday,27.21
231,2023-01-18 13:21,Wednesday,23.45
232,2023-01-18 16:29,Wednesday,24.49
233,2023-01-18 17:09,Wednesday,26.57
234,2023-01-18 18:44,Wednesday,19.75
235,2023-01-18 20:22,Wednesday,23.17
236,2023-01-18 20:56,Wednesday,26.38
237,2023-01-18 22:18,Wednesday,24.19
238,2023-01-19 0:18,Thursday,30.62
239,2023-01-19 1:56,Thursday,21.12
240,2023-01-19 2:06,Thursday,20.76
241,2023-01-19 2:54,Thursday,28.45
242,2023-01-19 3:32,Thursday,28.75
243,2023-01-19 5:05,Thursday,25.45
244,2023-01-19 6:42,Thursday,27.31
245,2023-01-19 8:41,Thursday,28.39
246,2023-01-19 9:35,Thursday,23.52
247,2023-01-19 10:24,Thursday,23.85
248,2023-01-19 14:47,Thursday,26.67
249,2023-01-19 15:19,Thursday,28.9
250,2023-01-19 15:48,Thursday,22.43
251,2023-01-19 18:19,Thursday,25.46
252,2023-01-19 20:18,Thursday,25.32
253,2023-01-19 21:06,Thursday,27.4
254,2023-01-19 22:13,Thursday,26.06
255,2023-01-19 23:07,Thursday,24.38
256,2023-01-19 23:49,Thursday,30.01
257,2023-01-20 0:26,Friday,26.32
258,2023-01-20 1:44,Friday,27.15
259,2023-01-20 3:03,Friday,22.77
260,2023-01-20 3:11,Friday,25.73
261,2023-01-20 6:27,Friday,29.9
262,2023-01-20 7:54,Friday,29.24
263,2023-01-20 8:50,Friday,30.19
264,2023-01-20 9:38,Friday,30.02
265,2023-01-20 11:17,Friday,35.22
266,2023-01-20 12:37,Friday,25.64
267,2023-01-20 14:30,Friday,22.7
268,2023-01-20 15:06,Friday,24.62
269,2023-01-20 15:54,Friday,25.8
270,2023-01-20 19:29,Friday,24.89
271,2023-01-20 20:13,Friday,28.51
272,2023-01-20 22:00,Friday,32.43
273,2023-01-20 22:32,Friday,33.41
274,2023-01-21 2:38,Saturday,44.15
275,2023-01-21 4:40,Saturday,52.34
276,2023-01-21 6:46,Saturday,39.87
277,2023-01-21 10:19,Saturday,64.16
278,2023-01-21 11:28,Saturday,46.93
279,2023-01-21 11:47,Saturday,32.48
280,2023-01-21 14:24,Saturday,37.9
281,2023-01-21 15:40,Saturday,44.29
282,2023-01-21 16:34,Saturday,41.18
283,2023-01-22 3:23,Sunday,38.76
284,2023-01-22 4:04,Sunday,34.05
285,2023-01-22 5:20,Sunday,39.63
286,2023-01-22 7:31,Sunday,44.47
287,2023-01-22 11:15,Sunday,39.8
288,2023-01-22 14:43,Sunday,35.76
289,2023-01-22 15:09,Sunday,33.77
290,2023-01-22 16:38,Sunday,35.86
291,2023-01-22 18:39,Sunday,41.6
292,2023-01-22 18:42,Sunday,41.37
293,2023-01-22 22:33,Sunday,35.93
294,2023-01-23 1:16,Monday,18.47
295,2023-01-23 1:26,Monday,26.4
296,2023-01-23 6:01,Monday,22.44
297,2023-01-23 6:26,Monday,27.23
298,2023-01-23 8:17,Monday,38.08
299,2023-01-23 9:17,Monday,22.17
300,2023-01-23 11:55,Monday,25.62
301,2023-01-23 13:14,Monday,36.74
302,2023-01-23 13:45,Monday,27.43
303,2023-01-23 15:01,Monday,25.58
304,2023-01-23 16:20,Monday,26.26
305,2023-01-23 16:35,Monday,19.88
306,2023-01-23 16:42,Monday,21.78
307,2023-01-23 17:50,Monday,17.59
308,2023-01-23 19:20,Monday,30.41
309,2023-01-23 19:58,Monday,29.8
310,2023-01-23 20:05,Monday,26.37
311,2023-01-23 21:58,Monday,35.07
312,2023-01-24 1:18,Tuesday,19.34
313,2023-01-24 2:30,Tuesday,23.15
314,2023-01-24 3:41,Tuesday,28.89
315,2023-01-24 4:50,Tuesday,24.15
316,2023-01-24 6:50,Tuesday,22.17
317,2023-01-24 7:24,Tuesday,18.76
318,2023-01-24 9:24,Tuesday,27.73
319,2023-01-24 11:15,Tuesday,23.59
320,2023-01-24 11:15,Tuesday,18.78
321,2023-01-24 12:44,Tuesday,21.16
322,2023-01-24 14:24,Tuesday,20.15
323,2023-01-24 19:01,Tuesday,23.43
324,2023-01-24 21:54,Tuesday,24.41
325,2023-01-24 22:49,Tuesday,22.38
326,2023-01-24 23:50,Tuesday,26.04
327,2023-01-25 1:02,Wednesday,24.56
328,2023-01-25 3:11,Wednesday,27.44
329,2023-01-25 7:05,Wednesday,23.3
330,2023-01-25 9:12,Wednesday,33.25
331,2023-01-25 9:39,Wednesday,22.7
332,2023-01-25 10:37,Wednesday,21.71
333,2023-01-25 12:03,Wednesday,21.36
334,2023-01-25 12:50,Wednesday,23.74
335,2023-01-25 17:32,Wednesday,19.34
336,2023-01-25 18:37,Wednesday,25.23
337,2023-01-25 22:49,Wednesday,18.81
338,2023-01-26 0:41,Thursday,26.97
339,2023-01-26 3:44,Thursday,22.17
340,2023-01-26 3:55,Thursday,25.25
341,2023-01-26 5:41,Thursday,28.39
342,2023-01-26 10:22,Thursday,33.8
343,2023-01-26 11:43,Thursday,23.06
344,2023-01-26 14:47,Thursday,38.47
345,2023-01-26 15:14,Thursday,24.19
346,2023-01-26 15:55,Thursday,23.73
347,2023-01-26 16:16,Thursday,24.22
348,2023-01-26 18:56,Thursday,29.12
349,2023-01-26 20:01,Thursday,24.95
350,2023-01-26 21:09,Thursday,33.66
351,2023-01-26 21:14,Thursday,27.83
352,2023-01-26 22:29,Thursday,23.3
353,2023-01-27 3:57,Friday,27.34
354,2023-01-27 4:56,Friday,25.85
355,2023-01-27 7:09,Friday,31.35
356,2023-01-27 7:46,Friday,22.98
357,2023-01-27 7:46,Friday,24
358,2023-01-27 7:49,Friday,26.58
359,2023-01-27 9:10,Friday,30.95
360,2023-01-27 9:34,Friday,32.84
361,2023-01-27 10:02,Friday,33.35
362,2023-01-27 10:36,Friday,30.43
363,2023-01-27 12:04,Friday,44.72
364,2023-01-27 14:15,Friday,31.35
365,2023-01-27 14:17,Friday,24.69
366,2023-01-27 16:13,Friday,22.29
367,2023-01-27 17:50,Friday,30.13
368,2023-01-27 19:11,Friday,25.18
369,2023-01-27 20:43,Friday,28.42
370,2023-01-27 21:38,Friday,41.74
371,2023-01-27 21:41,Friday,29.5
372,2023-01-27 23:43,Friday,31.87
373,2023-01-28 3:03,Saturday,46.52
374,2023-01-28 3:50,Saturday,43.29
375,2023-01-28 5:03,Saturday,40.06
376,2023-01-28 5:40,Saturday,42.86
377,2023-01-28 6:06,Saturday,39.28
378,2023-01-28 7:28,Saturday,41.32
379,2023-01-28 9:58,Saturday,55.62
380,2023-01-28 12:19,Saturday,43.26
381,2023-01-28 15:24,Saturday,44.63
382,2023-01-28 18:06,Saturday,38.77
383,2023-01-28 21:42,Saturday,47.56
384,2023-01-29 1:03,Sunday,43.97
385,2023-01-29 3:15,Sunday,44.02
386,2023-01-29 5:02,Sunday,41.35
387,2023-01-29 6:25,Sunday,45.32
388,2023-01-29 6:55,Sunday,46.47
389,2023-01-29 8:55,Sunday,41.7
390,2023-01-29 9:43,Sunday,39.77
391,2023-01-29 9:53,Sunday,44.66
392,2023-01-29 10:33,Sunday,59.55
393,2023-01-29 10:55,Sunday,36.86
394,2023-01-29 14:42,Sunday,40.09
395,2023-01-29 16:52,Sunday,31.92
396,2023-01-29 20:27,Sunday,44.38
397,2023-01-29 21:05,Sunday,35.71
398,2023-01-29 22:16,Sunday,38.09
399,2023-01-30 2:47,Monday,24.89
400,2023-01-30 3:46,Monday,25.66
401,2023-01-30 3:51,Monday,24.49
402,2023-01-30 5:20,Monday,25.34
403,2023-01-30 6:27,Monday,25.37
404,2023-01-30 7:27,Monday,24.18
405,2023-01-30 7:58,Monday,23.18
406,2023-01-30 9:14,Monday,28.87
407,2023-01-30 11:47,Monday,19.11
408,2023-01-30 12:22,Monday,24.93
409,2023-01-30 13:32,Monday,24.13
410,2023-01-30 14:02,Monday,26.85
411,2023-01-30 15:27,Monday,21.11
412,2023-01-30 17:38,Monday,24.04
413,2023-01-30 17:58,Monday,25.26
414,2023-01-30 19:26,Monday,28.87
415,2023-01-30 20:02,Monday,26.6
416,2023-01-30 21:23,Monday,21.95
417,2023-01-30 23:42,Monday,24.09
418,2023-01-31 1:00,Tuesday,26.71
419,2023-01-31 2:45,Tuesday,20.67
420,2023-01-31 9:04,Tuesday,23.94
421,2023-01-31 13:24,Tuesday,24.15
422,2023-01-31 16:22,Tuesday,23.06
423,2023-01-31 17:00,Tuesday,32.01
424,2023-01-31 21:47,Tuesday,23
425,2023-01-31 21:54,Tuesday,25.5
426,2023-01-31 21:58,Tuesday,21.97
427,2023-01-31 23:51,Tuesday,25.73
428,2023-02-01 1:30,Wednesday,27.3
429,2023-02-01 4:31,Wednesday,22.98
430,2023-02-01 6:22,Wednesday,24.57
431,2023-02-01 8:37,Wednesday,22.08
432,2023-02-01 8:55,Wednesday,21.34
433,2023-02-01 9:25,Wednesday,27.82
434,2023-02-01 11:49,Wednesday,23.1
435,2023-02-01 12:25,Wednesday,17.58
436,2023-02-01 15:10,Wednesday,30
437,2023-02-01 15:21,Wednesday,22.37
438,2023-02-01 16:43,Wednesday,24.02
439,2023-02-01 17:40,Wednesday,29.63
440,2023-02-01 18:31,Wednesday,24.34
441,2023-02-01 23:26,Wednesday,24.29
442,2023-02-02 0:23,Thursday,22.91
443,2023-02-02 2:23,Thursday,21.61
444,2023-02-02 2:29,Thursday,26.34
445,2023-02-02 5:25,Thursday,28.06
446,2023-02-02 5:56,Thursday,27.87
447,2023-02-02 6:13,Thursday,25.34
448,2023-02-02 9:50,Thursday,26.96
449,2023-02-02 10:00,Thursday,20.97
450,2023-02-02 10:53,Thursday,28.39
451,2023-02-02 13:26,Thursday,27.43
452,2023-02-02 14:15,Thursday,33.28
453,2023-02-02 16:21,Thursday,26.94
454,2023-02-02 18:18,Thursday,23.87
455,2023-02-02 18:50,Thursday,26.76
456,2023-02-02 19:22,Thursday,25.86
457,2023-02-02 19:35,Thursday,28.33
458,2023-02-02 19:46,Thursday,27.01
459,2023-02-02 20:29,Thursday,22.85
460,2023-02-02 22:24,Thursday,21.64
461,2023-02-02 23:25,Thursday,27.78
462,2023-02-03 1:23,Friday,33.86
463,2023-02-03 3:56,Friday,29.33
464,2023-02-03 5:54,Friday,31.89
465,2023-02-03 6:34,Friday,32.59
466,2023-02-03 8:00,Friday,29.99
467,2023-02-03 12:48,Friday,26.23
468,2023-02-03 13:16,Friday,29.76
469,2023-02-03 15:03,Friday,33.29
470,2023-02-03 20:59,Friday,30.95
471,2023-02-03 21:14,Friday,31.71
472,2023-02-03 21:20,Friday,27.48
473,2023-02-03 23:45,Friday,28.4
474,2023-02-04 1:15,Saturday,42.35
475,2023-02-04 4:01,Saturday,42.71
476,2023-02-04 4:56,Saturday,49
477,2023-02-04 9:37,Saturday,30.89
478,2023-02-04 10:29,Saturday,43.16
479,2023-02-04 11:49,Saturday,42.6
480,2023-02-04 13:48,Saturday,35.94
481,2023-02-04 13:57,Saturday,46.48
482,2023-02-04 13:59,Saturday,39.28
483,2023-02-04 14:10,Saturday,41.17
484,2023-02-04 15:44,Saturday,52.57
485,2023-02-04 15:53,Saturday,48.24
486,2023-02-04 21:05,Saturday,46.01
487,2023-02-05 2:35,Sunday,42.81
488,2023-02-05 2:51,Sunday,40.14
489,2023-02-05 7:23,Sunday,50.79
490,2023-02-05 9:37,Sunday,44.91
491,2023-02-05 10:56,Sunday,37.29
492,2023-02-05 11:03,Sunday,34.09
493,2023-02-05 12:39,Sunday,43.77
494,2023-02-05 13:11,Sunday,40.71
495,2023-02-05 13:37,Sunday,33.96
496,2023-02-05 16:01,Sunday,43.1
497,2023-02-05 16:17,Sunday,39.67
498,2023-02-05 17:19,Sunday,43.61
499,2023-02-05 17:50,Sunday,43.18
500,2023-02-05 19:20,Sunday,38.02
501,2023-02-05 19:46,Sunday,44.12
502,2023-02-05 20:32,Sunday,38.56
503,2023-02-05 22:55,Sunday,38.89
504,2023-02-05 23:31,Sunday,38.4
505,2023-02-06 2:31,Monday,29.47
506,2023-02-06 3:51,Monday,25.08
507,2023-02-06 7:25,Monday,30.23
508,2023-02-06 9:15,Monday,31.52
509,2023-02-06 13:52,Monday,23.67
510,2023-02-06 18:03,Monday,16.88
511,2023-02-06 18:39,Monday,29.24
512,2023-02-06 21:06,Monday,24.93
513,2023-02-06 21:23,Monday,23.29
514,2023-02-06 22:24,Monday,35.83
515,2023-02-06 23:40,Monday,24.7
516,2023-02-07 1:06,Tuesday,28.35
517,2023-02-07 2:36,Tuesday,25.01
518,2023-02-07 3:25,Tuesday,36.9
519,2023-02-07 4:32,Tuesday,25.99
520,2023-02-07 4:42,Tuesday,23.63
521,2023-02-07 4:46,Tuesday,23.39
522,2023-02-07 4:49,Tuesday,33.29
523,2023-02-07 12:10,Tuesday,26.97
524,2023-02-07 12:51,Tuesday,27.5
525,2023-02-07 15:40,Tuesday,23.79
526,2023-02-07 16:09,Tuesday,25.08
527,2023-02-07 17:02,Tuesday,34.33
528,2023-02-07 18:09,Tuesday,23.44
529,2023-02-07 18:39,Tuesday,21.23
530,2023-02-07 18:45,Tuesday,22.19
531,2023-02-07 19:37,Tuesday,23.86
532,2023-02-07 22:12,Tuesday,26.53
533,2023-02-07 22:22,Tuesday,28.29
534,2023-02-08 0:35,Wednesday,21.03
535,2023-02-08 2:24,Wednesday,23.32
536,2023-02-08 2:48,Wednesday,39.61
537,2023-02-08 3:58,Wednesday,27.52
538,2023-02-08 4:20,Wednesday,23.53
539,2023-02-08 9:07,Wednesday,23.84
540,2023-02-08 13:10,Wednesday,20.88
541,2023-02-08 17:07,Wednesday,38.68
542,2023-02-08 19:23,Wednesday,24.67
543,2023-02-08 21:40,Wednesday,23.19
544,2023-02-08 22:15,Wednesday,24.38
545,2023-02-08 22:25,Wednesday,28.57
546,2023-02-08 22:42,Wednesday,22.13
547,2023-02-08 23:15,Wednesday,22.62
548,2023-02-09 5:05,Thursday,31.42
549,2023-02-09 6:07,Thursday,27.57
550,2023-02-09 7:01,Thursday,29.52
551,2023-02-09 7:23,Thursday,39.84
552,2023-02-09 11:01,Thursday,27.21
553,2023-02-09 15:10,Thursday,26.2
554,2023-02-09 15:30,Thursday,30.07
555,2023-02-09 16:46,Thursday,31.16
556,2023-02-09 17:47,Thursday,42.05
557,2023-02-09 18:50,Thursday,23.46
558,2023-02-09 19:36,Thursday,36.77
559,2023-02-09 20:24,Thursday,26.18
560,2023-02-09 21:14,Thursday,24.88
561,2023-02-09 23:38,Thursday,26.81
562,2023-02-10 2:27,Friday,32.45
563,2023-02-10 5:44,Friday,31.43
564,2023-02-10 7:08,Friday,28.62
565,2023-02-10 7:16,Friday,32.49
566,2023-02-10 7:33,Friday,43.29
567,2023-02-10 8:20,Friday,27.5
568,2023-02-10 10:28,Friday,27.02
569,2023-02-10 10:31,Friday,30.99
570,2023-02-10 12:01,Friday,29.24
571,2023-02-10 12:06,Friday,24.66
572,2023-02-10 12:25,Friday,32.54
573,2023-02-10 13:32,Friday,27.84
574,2023-02-10 19:38,Friday,35.2
575,2023-02-10 20:05,Friday,24.58
576,2023-02-10 23:14,Friday,28.93
577,2023-02-11 2:10,Saturday,39.99
578,2023-02-11 6:31,Saturday,38.56
579,2023-02-11 8:30,Saturday,41.13
580,2023-02-11 10:48,Saturday,52.97
581,2023-02-11 11:26,Saturday,60.03
582,2023-02-11 13:07,Saturday,39.55
583,2023-02-11 15:40,Saturday,34.12
584,2023-02-11 18:42,Saturday,34.69
585,2023-02-11 19:44,Saturday,40.91
586,2023-02-11 19:56,Saturday,40.4
587,2023-02-11 20:33,Saturday,69.96
588,2023-02-11 21:37,Saturday,31.81
589,2023-02-12 0:22,Sunday,41.13
590,2023-02-12 1:10,Sunday,46.72
591,2023-02-12 1:33,Sunday,49.69
592,2023-02-12 2:46,Sunday,32.14
593,2023-02-12 4:01,Sunday,37.6
594,2023-02-12 7:12,Sunday,37.35
595,2023-02-12 8:38,Sunday,42.35
596,2023-02-12 8:51,Sunday,35.53
597,2023-02-12 10:03,Sunday,50.03
598,2023-02-12 11:05,Sunday,41.85
599,2023-02-12 13:27,Sunday,41.02
600,2023-02-12 15:25,Sunday,49.61
601,2023-02-12 17:37,Sunday,55.27
602,2023-02-12 19:50,Sunday,43.67
603,2023-02-12 20:45,Sunday,37.91
604,2023-02-12 21:59,Sunday,34.82
605,2023-02-12 22:11,Sunday,38.62
606,2023-02-12 23:01,Sunday,52.61
607,2023-02-13 0:11,Monday,28.36
608,2023-02-13 1:15,Monday,27.23
609,2023-02-13 4:08,Monday,23.28
610,2023-02-13 4:30,Monday,29.25
611,2023-02-13 7:28,Monday,22.08
612,2023-02-13 8:02,Monday,21.41
613,2023-02-13 9:31,Monday,24.61
614,2023-02-13 10:12,Monday,32.57
615,2023-02-13 15:43,Monday,32.4
616,2023-02-13 16:07,Monday,24.97
617,2023-02-13 18:06,Monday,24.26
618,2023-02-13 19:02,Monday,21.2
619,2023-02-14 0:59,Tuesday,25.16
620,2023-02-14 3:19,Tuesday,25.41
621,2023-02-14 4:27,Tuesday,27.29
622,2023-02-14 5:58,Tuesday,27.66
623,2023-02-14 6:15,Tuesday,24.34
624,2023-02-14 7:35,Tuesday,26.6
625,2023-02-14 9:44,Tuesday,22.85
626,2023-02-14 10:02,Tuesday,33.28
627,2023-02-14 10:18,Tuesday,23.43
628,2023-02-14 11:59,Tuesday,35.66
629,2023-02-14 14:59,Tuesday,26.09
630,2023-02-14 18:02,Tuesday,25.17
631,2023-02-14 23:08,Tuesday,27.36
632,2023-02-14 23:39,Tuesday,20.27
633,2023-02-15 2:56,Wednesday,22.26
634,2023-02-15 3:14,Wednesday,24.69
635,2023-02-15 4:14,Wednesday,21.1
