Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
nJjk5D-4YEs,What to produce,"Sep 5, 2017",2892,75.7756,17,1.826,0:01:34,26006,8.48
u40rBj1BMhQ,Not included in GDP,"Sep 22, 2017",2882,135.1105,15,8.509,0:02:48,16620,10.51
1surmj1rXy8,Balance Scorecard,"Sep 8, 2017",2780,92.8025,18,5.284,0:02:00,30410,6.11
pBcEI3mf0PI,Precedence Network,"Sep 14, 2017",2681,203.746,9,9.991,0:04:33,14507,3.76
3DV9zo9oFMo,Limitations to Fiscal Policy,"Nov 24, 2017",2551,92.2665,5,0.721,0:02:10,10069,13.05
6x-gAXF_NcI,Problems with Measuring GDP,"Sep 22, 2017",2525,125.4761,11,1.246,0:02:58,14291,10.3
a1FcUFmudBw,Linear Programming using Excel Solver,"Jan 18, 2016",2509,100.7772,4,2.229,0:02:24,11870,3.46
xy--FszEjqY,Closed Loop Supply Chain,"Nov 24, 2017",2494,181.3087,12,7.936,0:04:21,23955,5
8QUggElc3XI,Leakages and Injections 2,"Oct 20, 2014",2384,75.3656,5,0.944,0:01:53,10215,2.86
C46IodtONzs,Contractionary and Expansionary Monetary Policy,"Nov 17, 2017",2062,172.281,8,2.509,0:05:00,15578,6.29
6jFHMVzVyC0,Measuring Capacity,"Oct 20, 2017",2049,225.7468,11,2.628,0:06:36,17417,5.26
0DN4GNhs6_c,Garbage Can Model to Decision Making,"Sep 16, 2022",2044,142.8701,12,5.157,0:04:11,17732,6.18
SdQi3QVTFq0,"Total Fixed Cost, Total Variable Cost, and Total Cost","Oct 27, 2020",2040,69.7896,7,6.99,0:02:03,4827,3.73
yf6kAj1ob5c,Purpose of Bank of Canada,"Nov 10, 2020",2001,289.0437,26,11.547,0:08:40,20366,4.31
P9Faxb2gkPo,Equitable Distribution of Income,"Sep 6, 2017",1959,91.3062,4,0.559,0:02:47,10530,7.96
YFxlVgW9S7k,Factors for Location Planning,"Jan 31, 2017",1943,140.6181,3,1.252,0:04:20,13832,5.21
vlrLO7eIfEE,Forecasting Process,"Oct 13, 2017",1843,127.8203,12,3.712,0:04:09,12726,6.66
kALmgA96PiA,Muther Grid in Excel,"Mar 2, 2021",1825,50.2245,0,7.872,0:01:39,13023,3.45
VfuGkmxm35g,Calculating Real GDP,"Sep 28, 2017",1821,96.0656,6,0.815,0:03:09,10824,4.19
K2jQv9svNXs,Operations Strategies,"Sep 8, 2017",1721,89.8858,10,5.163,0:03:08,21366,3.62
OwSRYgK7ots,Disposable Income,"Oct 27, 2017",1680,75.7029,3,1.68,0:02:42,15333,6.66
G-cDl4hfBLg,Finding Economic Data,"Aug 29, 2019",1646,127.9246,14,4.193,0:04:39,17445,5.17
lR6djpLMLKc,Forecast Using Associative Models in Excel,"Jan 28, 2016",1636,90.7535,2,4.214,0:03:19,10453,3.86
UlSos1bkZtE,Government Spending and Taxation,"Nov 24, 2017",1627,76.6481,13,2.663,0:02:49,16606,6.96
flR7F35D93c,Calculating the Spending Multiplier,"Mar 14, 2017",1540,44.0669,5,1.617,0:01:43,6388,4.57
IOElDkHkuYA,03. Graphing Indifference Curves,"Sep 22, 2013",1504,42.1316,3,0.252,0:01:40,3157,4.12
pTaqWpaXIGU,Calculating Exchange Rate,"Nov 28, 2021",1491,40.253,1,4.54,0:01:37,11383,3.51
2z-Dj7aYhcE,Choosing a Technique,"Oct 13, 2017",1466,74.8969,4,3.398,0:03:03,10644,7.61
7gHneRjP2QQ,Determinants of Quality,"Nov 3, 2017",1460,47.9052,2,1.421,0:01:58,9710,7.18
4bRh0G81dCM,How Companies Compete,"Sep 8, 2017",1444,127.1564,28,2.467,0:05:17,13748,1.53
wq67w7NCDyE,Pegged Exchange Rate 1,"Dec 1, 2017",1430,138.0051,3,0.863,0:05:47,18769,2.77
N2ensNSDpHU,Creating Histograms for Quality Management,"Mar 9, 2016",1425,67.3504,1,3.904,0:02:50,7588,4.27
RxYuh2aIfTA,AI in Decision Making,"Sep 16, 2022",1348,66.2273,7,3.632,0:02:56,10997,5.74
br_6bSb9aR4,Boundaryless and Virtual Organizations,"Sep 30, 2022",1307,45.3705,9,1.308,0:02:04,10325,9.64
PGU7voEXu2s,Graphing Lorenz Curve in Excel,"Sep 7, 2021",1264,65.1587,6,3.776,0:03:05,8300,3.63
8pxFF0Qf1Gg,Voronoi Polygons on a Map,"Sep 15, 2020",1203,37.1988,3,2.48,0:01:51,8787,3.31
UxjLepXiTC8,Pegged Exchange Rate 2,"Dec 1, 2017",1199,70.3787,3,2.021,0:03:31,13949,3.78
WJCD6O33XDk,Sources of Economic Data,"Sep 1, 2017",1195,61.9552,11,1.203,0:03:06,9763,6.4
KbkbS_upm80,Material Requirement Planning,"Nov 29, 2017",1170,107.2441,3,0.744,0:05:29,16304,3.47
_IexMUljO6Y,Theories on Fiscal Policy,"Nov 24, 2017",1167,63.4754,2,0.666,0:03:15,5807,7.35
qBDusquL5PM,Relationship Between Cost Curves,"Oct 27, 2020",1147,39.1699,2,2.813,0:02:02,5682,4.35
 -xBiKB5a72g,Control Chart,"Mar 9, 2016",1128,55.2531,2,1.62,0:02:56,11885,4.15
pZpyWrYsKEs,Productivity of Services,"Oct 6, 2017",1120,73.0606,4,2.712,0:03:54,9707,6.16
mEA8rc9n0zY,Okuns Law,"Oct 8, 2020",1118,133.6307,9,1.56,0:07:10,8628,4.15
XB9sxaXnRsM,Leakages and Injections 1,"Sep 13, 2017",1103,60.2955,1,0.667,0:03:16,9507,4.08
fkfRRILzFws,Work Specialization and Departmentalization,"Sep 30, 2022",1098,42.6959,9,1.681,0:02:19,9506,8.25
1ryqglMNfGE,Calculating Economic Growth,"Sep 28, 2021",1062,65.7824,3,2.067,0:03:42,5536,2.35
1sQx4W2kzVM,Globe9 Cultural Dimensions and  Types of Leadership,"Nov 14, 2022",1060,60.0412,10,2.932,0:03:23,9332,8.33
kKH0DjqEfsg,Annotating PDFs in Mac Preview,"Aug 31, 2020",1058,11.2091,1,4.017,0:00:38,8057,7.32
wgKYYuq8VAs,Location Planning Process,"Sep 21, 2017",1038,62.9916,3,0.953,0:03:38,10308,2.61
ZxyWOpFwQ48,Demand Forecasting,"Oct 13, 2017",1035,75.8854,5,2.502,0:04:23,11614,3.8
I88uvEdU7o4,Purpose and Characteristics of Money,"Nov 10, 2017",1021,88.7017,7,1.28,0:05:12,7057,4.51
TEtHa7M_WDs,Nominal and Real GDP,"Sep 23, 2019",1016,99.5806,3,0.944,0:05:52,4402,2.36
416j7sZMS7k,Okuns Law and GDP Gap,"Oct 8, 2019",1010,46.5329,4,2.645,0:02:45,12332,4.29
IyFH-Cc3vAw,Circular Flow,"Sep 13, 2017",1003,156.4111,1,0.809,0:09:21,3731,2.49
gv4rr0ki6lk,Spending Multiplier,"Oct 27, 2017",1001,110.1713,1,0.305,0:06:36,5307,3.43
DMDvpzSxPvg,Loading,"Sep 14, 2017",994,58.7757,4,1.923,0:03:32,13536,2.69
lcWnWDa3HX8,Strategic Planning,"Sep 8, 2017",971,100.7972,6,0.932,0:06:13,12263,2.62
ReCFEl_bdmo,Managing Operations,"Sep 1, 2020",969,58.8614,13,3.259,0:03:38,13920,2.64
A9NRu2T-rls,Benefits of Monopolies,"Nov 26, 2018",961,31.7085,7,0.988,0:01:58,10392,6.04
4jdnBcqULk0,02. Calculating Opportunity Cost,"Sep 22, 2013",953,34.3532,0,0.33,0:02:09,5032,3.58
2lHzJxdnIVI,Monetary Policy Schools of Thought,"Nov 17, 2017",941,172.7362,1,1.128,0:11:00,4529,2.94
1Gccol8Zgr8,Income and Expenditure Approach,"Sep 22, 2017",937,89.7997,0,0.662,0:05:45,4851,4.16
oWkxmv4SCbU,Choosing a Supplier,"Nov 17, 2017",937,67.5645,4,3.35,0:04:19,8456,4.79
Ys7RgwZnwsY,Gamified MGMT 420,,933,14.0672,21,,0:00:54,9226,1.34
aSoxaQxSFxI,Graphing Consumption Spending,"Mar 14, 2017",932,47.1054,1,0.765,0:03:01,3340,5.57
hgnn7SIdTVE,Chester Barnard,"Sep 9, 2022",927,83.7469,5,2.13,0:05:25,7227,5.95
ZCP2SYG_YeE,Quantity and Quality of Labour,"Oct 5, 2017",922,94.2506,0,0.605,0:06:08,3815,5.14
u-Q1kq4Qz8Q,Trend Forecasting,"Oct 13, 2017",906,76.7865,2,1.427,0:05:05,9550,3.52
any1dhCMJa8,For whom,"Sep 5, 2017",904,163.7833,1,1.809,0:10:52,6091,1.13
FzUo5bkE73w,Money Supply and Demand,"Nov 17, 2017",901,112.7085,2,1.235,0:07:30,5824,2.7
hR6ORVvwrw4,Quality Tools,"Nov 3, 2017",899,105.028,1,1.312,0:07:00,7501,2.79
b37JBKzuD6Y,Consumption Spending,"Oct 27, 2017",893,47.2579,3,0.474,0:03:10,5082,4.98
6FnkZRFgltg,Managing Quality,"Nov 3, 2017",891,70.08,1,1.227,0:04:43,7403,3.94
IzGQyzxibWM,Example Problem: Total Fixed Cost,"Oct 24, 2013",878,15.382,0,0.178,0:01:03,3556,4.22
1CUF7gjpdw8,Micro Macro,"Sep 5, 2017",862,92.4781,6,1.819,0:06:26,6364,1.79
ssa_FATa1dk,Project Management Intro,"Sep 14, 2017",848,51.3961,5,1.681,0:03:38,10625,2.01
qd-jnI2gCxI,Why Do Monopolies Exist,"Nov 26, 2018",847,78.5602,3,1.601,0:05:33,10890,3.97
zvKCNkn7B0g,Quasi Public Goods,"Nov 10, 2020",841,38.059,4,1.695,0:02:42,9133,5.66
5Qt8c03tx10,Red Bead Experiment,"Mar 16, 2020",840,37.3604,1,7.026,0:02:40,11805,3.82
Yc3kKz6IdvM,Evaluating Supply Chain,"Nov 17, 2017",830,73.6767,7,1.242,0:05:19,7000,4.24
zDK276weWxg,Impact of Trade Deficit on Economy,"Sep 6, 2017",826,21.0345,2,1.507,0:01:31,6580,7.48
VBbBrjqo3JE,Gantt Charts,"Sep 14, 2017",820,25.9781,4,2.023,0:01:54,10632,2.28
DrIqzzU-xrg,Concentration Ratio and Herfindahl Hirschman,"Nov 25, 2020",812,79.3354,2,3.058,0:05:51,17118,2.2
pvNsBmSdsnQ,Other Layouts,"Oct 27, 2017",812,49.556,4,0.814,0:03:39,8781,3.79
 -VN3-ZoLgwE,Characteristics of Perfect Competition,"Nov 10, 2020",809,36.7142,3,1.261,0:02:43,4515,7.11
kPn9eIEG2RU,Example Problem: Subsidy,"Nov 24, 2013",806,31.4597,0,0.682,0:02:20,4373,6.04
Pdjq9qwdE7Y,Equation of Exchange,"Nov 17, 2017",803,77.2285,2,0.985,0:05:46,5036,3.44
MqViz16TsAU,Types of Unemployment,"Oct 13, 2017",789,68.7237,1,0.535,0:05:13,5598,2.32
QSO8uI_8IrU,Types of Inflation,"Sep 28, 2017",781,36.4021,0,0.263,0:02:47,5832,3.74
t9nZvVQhfPI,Chain of Command,"Sep 30, 2022",776,39.9738,6,2.184,0:03:05,7055,5.98
Lrft3MxUjRQ,Government Spending,"Oct 27, 2017",773,57.2677,2,0.444,0:04:26,5490,4.5
qz3armjfljs,Demand and Supply,"Sep 13, 2017",767,90.1194,0,0.409,0:07:02,3746,2.08
rYPpoEru_9w,Graphing Government Spending,"Mar 14, 2017",759,53.5863,1,0.351,0:04:14,3149,4.99
eCM_LV7BETk,Aggregate Demand,"Nov 3, 2017",751,115.1833,0,0.6,0:09:12,3443,2.64
yqseXPT_hto,Sequencing,"Sep 15, 2017",742,118.9182,2,0.696,0:09:36,7895,2.03
lYWZwz23lB8,Deriving Aggregate Demand,"Oct 27, 2017",731,46.3963,2,0.359,0:03:48,6243,4.26
Sit_b-I0xVw,Optimal Purchasing Rule,"Sep 15, 2020",727,47.5161,5,3.953,0:03:55,5352,6.54
GU2KYJo-qNY,CPI and GDP Deflator,"Sep 23, 2019",723,57.6241,4,0.748,0:04:46,6102,2.29
S68lmNTaZzM,Intro to Economic Schools of Thought,"Oct 20, 2017",723,27.2398,7,0.947,0:02:15,10524,2.66
LpLyh1FOOzE,Optimal Consumption Point,"Sep 9, 2020",720,47.1203,1,2.194,0:03:55,4977,4.86
WgxeiTgr5t8,Shift in Demand,"Sep 13, 2017",720,79.5264,2,0.447,0:06:37,3402,1.88
OJrvoKQdUnE,Closing the Gaps,"Nov 3, 2017",715,138.1638,0,0.312,0:11:35,2929,1.47
ichUnxHQ5ak,Classical Theory,"Oct 20, 2017",714,83.73,1,0.493,0:07:02,3106,2.16
95wQ8eT3ZtM,Market Equilibrium when Supply and Demand Change,"Oct 24, 2013",706,30.3712,4,0.497,0:02:34,2814,2.38
PBRttY3GJIg,Examples of the Cost of Quality,"Mar 17, 2020",705,26.1091,2,1.932,0:02:13,10891,4.08
XbSjWg86B6A,Downward Sloping Demand,"Sep 13, 2017",694,35.5339,1,0.458,0:03:04,5113,2.54
f40IqDWPHys,What does Central Alberta make,"Sep 5, 2017",692,14.5154,2,0.322,0:01:15,6764,0.59
hrspGzAZ8L8,Bank Lending Creates Money,"Nov 10, 2017",692,146.2248,2,1.313,0:12:40,3589,1.95
FIiw6nYeLrE,Keynesian,"Oct 20, 2017",689,89.8822,3,0.672,0:07:49,3613,2.96
ZWxEJME-SVU,Graphing Savings,"Mar 14, 2017",676,31.1486,0,0.428,0:02:45,3124,4.35
D7OWkpz7sa0,Investment Spending,"Oct 27, 2017",674,42.2982,0,1.029,0:03:45,6078,4.85
Fr-p2OtIwKM,Deci and Ryan Motivational Theory,"Nov 7, 2022",672,32.7064,3,2.057,0:02:55,5719,7.99
to06yyBtc50,Variability and Bottleneck,"Oct 27, 2017",665,25.1599,3,0.897,0:02:16,6677,3.15
6A-jz8cMoC0,AD and AS Equilibrium,"Nov 3, 2017",664,84.0312,2,0.562,0:07:35,3404,1.94
8kDp9uC3ogw,Calculating LFPR and Unemployment,"Oct 8, 2019",664,73.5465,0,0.413,0:06:38,4484,0.96
7AAy5CJ9SAE,Productivity,"Oct 6, 2017",657,104.7556,2,0.785,0:09:34,6318,1.52
I4-168JVbCg,Accuracy of Unemployment Rate,"Oct 13, 2017",656,60.2017,0,0.551,0:05:30,2527,1.35
C7YWXqjJ1CE,Costs of inflation,"Sep 28, 2017",648,52.4394,0,0.249,0:04:51,4092,3.79
vTtqIaWXqX8,06. How the Optimal Consumption Point Changes When Price Changes,"Sep 22, 2013",642,25.3842,1,1.385,0:02:22,3719,4.28
aR9RlbLUvkk,Housing Bubble,"Sep 27, 2017",639,25.2456,0,0.107,0:02:22,2591,1.39
jvqfjYzHmZM,Voronoi Polygons,"Feb 10, 2017",638,24.7604,2,0.892,0:02:19,10060,2.18
q9kYSDDVM5w,"Average Total Cost, Average Variable Cost, and Average Fixed Cost","Oct 27, 2020",635,38.9508,3,2.597,0:03:40,3935,2.69
N2nAuwhxy2A,Midpoint Method for Calculating Elasticity,"Sep 22, 2020",632,43.037,2,1.948,0:04:05,5282,2.25
Z49rlec5AFg,Graphing Export and Import Spending,"Mar 14, 2017",623,55.7551,0,0.235,0:05:22,2491,3.85
SWjT2Bb3JiE,Annotating PDFs in Adobe Reader,"Aug 31, 2020",620,13.2878,1,1.861,0:01:17,4692,4.01
2IFzZ_wqfMo,Shifts in Supply,"Sep 13, 2017",614,75.385,0,0.35,0:07:21,3167,1.11
Hc-Q_k7N3O8,Intro,"Aug 29, 2019",613,14.1404,9,2.121,0:01:23,9269,1.92
G-ux_fNQQds,07. Plotting the Demand Curve,"Sep 22, 2013",608,18.043,0,0.824,0:01:46,2135,3.14
DrOMgNnjl2U,Monopolistic Competition in the Short Run and Long Run,"Nov 25, 2020",604,41.7835,3,0.918,0:04:09,8629,3.08
dNt9HECi0iE,Just in Time Manufacturing,"Apr 7, 2017",603,81.8496,1,1.052,0:08:08,6219,3.41
fkXZc8XVquI,Circular Flow Intro,"Sep 13, 2017",599,28.4005,0,0.347,0:02:50,2644,1.63
wwnjJfSjsSQ,What is Operations?,"Sep 1, 2020",591,77.5838,5,3.398,0:07:52,10814,1.8
DpyZFh5XsfE,Graphing Investment Spending,"Mar 14, 2017",588,25.6062,1,0.491,0:02:36,3720,3.68
xJZYHSzwvdU,Automatic Fiscal Policy,"Nov 24, 2017",586,43.3009,1,0.248,0:04:26,3784,1.98
_6mune5NG9Q,Theory of Constraints,"Oct 6, 2017",582,51.4853,2,0.952,0:05:18,6853,2.33
tjH6s5FidY8,Automation,"Sep 28, 2017",582,99.0458,2,0.337,0:10:12,7947,2.04
0BKkmHHoONg,Perfectly Elastic and Perfectly Inelastic,"Sep 22, 2020",571,30.5799,4,0.835,0:03:12,8888,4.04
h8eNj9r--ko,Savings,"Oct 27, 2017",560,30.8549,0,0.438,0:03:18,3223,2.7
SBkk88Ddbh8,"Example Problem: Breakeven Price, Shutdown Price and Supply","Nov 4, 2015",557,26.8669,0,0.497,0:02:53,3689,2.58
xFXb4prl0NQ,Inventory Management,"Nov 24, 2017",557,30.6949,0,0.921,0:03:18,5239,3.34
aST1DvsyMCw,How to Create Money,"Nov 10, 2017",556,35.0291,-1,0.238,0:03:46,2800,1.68
gCosyuAHy3M,Types of Markets,"Nov 10, 2020",551,39.2657,5,1.286,0:04:16,3410,1.52
0Md6-n9TaYY,Is Financial Capital a Factor of Production,"Sep 4, 2017",550,17.8098,1,1.018,0:01:56,8139,1.06
Yf1Zqq4MsUI,Supply Side,"Oct 20, 2017",546,98.0591,0,0.542,0:10:46,2973,1.28
i8vPXlRZ7nY,Organization as a Metaphor,"Sep 23, 2022",544,46.8326,3,1.962,0:05:09,4859,7
cesZtSWIipk,Classroom Size Monopoly Game Play,"Mar 8, 2019",543,9.5355,-1,,0:01:03,5363,4.72
YfHxndzCMuQ,Impact of Unemployment,"Oct 13, 2017",536,48.2253,1,0.081,0:05:23,5343,3.57
CAmXGuWJ-1c,Topics of Operations Management Course,"Sep 1, 2020",534,10.2536,1,,0:01:09,12438,2.07
d9RAIiuX7g8,Causes of Inflation,"Sep 28, 2017",533,62.2929,0,0.213,0:07:00,2934,1.12
9Hb0di-Cs8g,Equilibrium and Economic Growth,"Sep 22, 2017",532,28.8556,1,0.332,0:03:15,3496,3.32
gQD1Ispi42U,McClelland's Acquired Needs Theory,"Oct 28, 2022",532,20.6561,2,1.388,0:02:19,2993,5.31
H-WjWuqbICk,Example Problem: Average Fixed Cost,"Oct 24, 2013",526,11.9419,0,0.235,0:01:21,3434,2.5
HoSNqMeYpOs,Supply Chain,"Nov 17, 2017",526,125.3038,2,0.314,0:14:17,4881,2.32
Rea_GmjHQ-s,Decision Making Styles,"Sep 16, 2022",526,19.7406,6,0.605,0:02:15,3415,9.6
fwuy4dQPNKA,Inflation Deflation,"Sep 28, 2017",525,37.4076,0,0.22,0:04:16,3152,0.95
4c5nxHuK9Lc,Example Problem: Marginal Cost,"Oct 24, 2013",523,16.3974,0,0.363,0:01:52,2564,4.76
4yqsCpHmZnw,External Cost,"Nov 17, 2020",522,55.1842,5,1.78,0:06:20,5435,4.29
WSh8r9V0H1Q,How Do Monopolies Set Price and Quantity,"Nov 26, 2018",522,47.8024,1,0.797,0:05:29,6758,4.35
Q_lPf_MzVI4,Pareto Chart,"Mar 9, 2016",520,36.1729,2,0.676,0:04:10,5284,1.63
GdhZAIN_NF0,Quality,"Nov 3, 2017",519,53.4481,3,0.35,0:06:10,5538,1.79
4GP8HbDVUk4,Purchasing Power Parity,"Dec 1, 2017",517,69.424,0,0.67,0:08:03,3595,1.03
MxqbKO-DTo4,Unemployment and Employment in Canada,"Oct 8, 2019",515,43.1103,1,0.733,0:05:01,5077,1.08
nWcNHBOV5F0,Aggregate Supply,"Nov 3, 2017",514,67.4311,0,0.507,0:07:52,2746,1.2
4ou56N3KFC8,Example Problem: Total Variable Cost,"Oct 24, 2013",509,12.0139,0,0.182,0:01:24,2992,2.87
f-QKT1_ZYDI,OBS and Sidecar,"Oct 29, 2021",507,28.1938,0,2.242,0:03:20,6697,1.73
m3RjOrlBxAg,Interpreting Formulas,"Oct 27, 2017",501,38.8094,2,0.226,0:04:38,3040,2.6
2R44DfW8hVQ,Exports and Imports,"Oct 27, 2017",497,29.1313,0,0.279,0:03:31,3646,2.63
_-rdgF64hi0,Material Requirement Planning Part 1,"Nov 22, 2016",495,20.5298,2,1.917,0:02:29,5525,3.69
MwbfV7r3Thc,Curved Aggregate Supply Curve,"Nov 3, 2017",489,37.8053,0,0.349,0:04:38,2897,0.72
EDf1ZVOh_Sw,What to Produce,"Aug 29, 2019",477,30.2592,2,0.986,0:03:48,4165,1.3
bOunLnwkxMc,How to Produce,"Aug 29, 2019",477,92.1158,1,0.557,0:11:35,3617,0.69
CfY3yMMRfsQ,05. How Optimal Consumption Points Changes When Income Changes,"Sep 22, 2013",476,16.1708,2,0.208,0:02:02,2854,4.03
aGKJ5NgVvPQ,Winners and Losers,"Sep 28, 2017",476,34.3218,0,0.294,0:04:19,2718,2.21
 -ByAqc_cvvI,Logistics,"Nov 17, 2017",473,59.885,2,0.293,0:07:35,6020,1.13
gXPhD7hHoLQ,JIT Lean Manufacturing,"Nov 24, 2020",468,64.3533,3,2.706,0:08:15,8515,2.22
fr276S9KwmE,Decisions on the Margins,"Sep 2, 2020",466,42.0179,2,1.078,0:05:24,4810,5.63
kKnLqfMcBiQ,Calculating Inflation,"Sep 28, 2021",457,42.8838,0,1.033,0:05:37,6007,1.85
